Title,Released Year,Scores,Adjusted Score,Info,Synopsis,Director,Cast
The Wicker Man,1973,91,97438,"This intelligent horror film is subtle in its thrills and chills, with an ending that is both shocking and truly memorable.",Sergeant Howie (Edward Woodward) arrives on the small Scottish island of Summerisle to investigate the report of a missing child....,Robin Hardy,"Edward Woodward, Christopher Lee, Britt Ekland, Diane Cilento"
Dead Alive,1992,89,92627,"The delightfully gonzo tale of a lovestruck teen and his zombified mother, Dead Alive is extremely gory and exceedingly good fun, thanks to Peter Jackson's affection for the tastelessly sublime.","Overprotective mother Vera Cosgrove (Elizabeth Moody), spying on her grown son, Lionel (Timothy Balme), as he visits the zoo with...",Peter Jackson,"Timothy Balme, Diana Peñalver, Elizabeth Moody, Ian Watkin"
You Won't Be Alone,2022,93,99900,"Although it may strike some as too artsy for its own good,","Set in an isolated mountain village in 19th century Macedonia, YOU WON'T BE ALONE follows a young girl who is...",Goran Stolevski,"Noomi Rapace, Anamaria Marinca, Alice Englert, Carloto Cotta"
The Fly,1958,95,100753,"Deliciouly funny to some and eerily presicient to others,","When scientist Andre Delambre (Al Hedison) tests his matter transporter on himself, an errant housefly makes its way into the...",Kurt Neumann,"David Hedison, Patricia Owens, Vincent Price, Herbert Marshall"
Let Me In,2010,88,97556,Similar to the original in all the right ways -- but with enough changes to stand on its own --,"Bullied at school, neglected at home and incredibly lonely, 12-year-old Owen (Kodi Smit-McPhee) spends his days plotting revenge on his...",Matt Reeves,"Kodi Smit-McPhee, Chloë Grace Moretz, Richard Jenkins, Cara Buono"
Village of the Damned,1960,93,97928,"Chilling performances and a restrained, eerie atmosphere make this British horror both an unnerving parable of its era and a timeless classic.","One day the peaceful village of Midwich is cast into a mysterious sleep for several hours, but with no obvious...",Wolf Rilla,"George Sanders, Barbara Shelley, Michael Gwynn, Laurence Naismith"
Don't Breathe,2016,88,99504,,"Rocky (Jane Levy), Alex and Money are three Detroit thieves who get their kicks by breaking into the houses of...",Fede Alvarez,"Jane Levy, Dylan Minnette, Daniel Zovatto, Stephen Lang"
The Texas Chain Saw Massacre,1974,89,97096,"Thanks to a smart script and documentary-style camerawork,","When Sally (Marilyn Burns) hears that her grandfather's grave may have been vandalized, she and her paraplegic brother, Franklin (Paul...",Tobe Hooper,"Marilyn Burns, Gunnar Hansen, Allen Danziger, Paul A. Partain"
The Phantom of the Opera,1925,90,97819,"Decades later, it still retains its ability to scare -- and Lon Chaney's performance remains one of the benchmarks of the horror genre.","In this silent horror classic, aspiring young opera singer Christine Daaé (Mary Philbin) discovers that she has a mysterious admirer...",Rupert Julian,"Lon Chaney, Mary Philbin, Norman Kerry, Arthur Edmund Carewe"
The Conjuring,2013,86,96420,"Well-crafted and gleefully creepy,","In 1970, paranormal investigators and demonologists Lorraine (Vera Farmiga) and Ed (Patrick Wilson) Warren are summoned to the home of...",James Wan,"Vera Farmiga, Patrick Wilson, Lili Taylor, Ron Livingston"
Cat People,1942,92,102904,"Influential noir director Jacques Tourneau infused this sexy, moody horror film with some sly commentary about the psychology and the taboos of desire.","Irena Dubrovna (Simone Simon), a New York City--based fashion designer who hails from Serbia, begins a romance with marine engineer...",Jacques Tourneur,"Simone Simon, Kent Smith, Tom Conway, Jane Randolph"
Horror of Dracula,1958,91,96914,"Trading gore for grandeur,","On a search for his missing friend Jonathan Harker (John Van Eyssen), vampire hunter Dr. Van Helsing (Peter Cushing) is...",Terence Fisher,"Peter Cushing, Christopher Lee, Michael Gough, Melissa Stribling"
The Blackening,2022,87,94362,"While it could stand to be a little funnier and quite a bit scarier,",The Blackening centers around a group of Black friends who reunite for a Juneteenth weekend getaway only to find themselves...,Tim Story,"Antoinette Robertson, Dewayne Perkins, Grace Byers, Jermaine Fowler"
Grindhouse,2007,84,91604,,Filmmakers Quentin Tarantino and Robert Rodriguez pay tribute to exploitation films of the 1970s with two features in one. Tarantino...,Quentin Tarantino,"Kurt Russell, Rose McGowan, Freddy Rodríguez, Marley Shelton"
The Thing,1982,84,92378,"Grimmer and more terrifying than the 1950s take, John Carpenter's The Thing is a tense sci-fi thriller rife with compelling tension and some remarkable make-up effects.","In remote Antarctica, a group of American research scientists are disturbed at their base camp by a helicopter shooting at...",John Carpenter,"Kurt Russell, Wilford Brimley, T.K. Carter, Richard Dysart"
House of Wax,1953,93,98439,,"Wax sculptor Henry (Vincent Price) is horrified to learn that his business partner, Matthew (Roy Roberts), plans on torching their...",Andre de Toth,"Vincent Price, Frank Lovejoy, Phyllis Kirk, Carolyn Jones"
The Shining,1980,83,94373,"Though it deviates from Stephen King's novel, Stanley Kubrick's","Jack Torrance (Jack Nicholson) becomes winter caretaker at the isolated Overlook Hotel in Colorado, hoping to cure his writer's block....",Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers"
The Love Witch,2016,95,99818,,"Elaine (Samantha Robinson), a beautiful young witch, is determined to find a man to love her. In her gothic Victorian...",Anna Biller,"Samantha Robinson, Gian Keys, Laura Waddell, Jeffrey Vincent Parise"
Bone Tomahawk,2015,91,95376,,"In the Old West, a sheriff (Kurt Russell), his deputy (Richard Jenkins), a gunslinger (Matthew Fox),and a cowboy (Patrick Wilson)...",S. Craig Zahler,"Kurt Russell, Patrick Wilson, Richard Jenkins, Matthew Fox"
The Descent,2005,87,93865,Deft direction and strong performances from its all-female cast guide,"A year after a severe emotional trauma, Sarah (Shauna Macdonald) goes to North Carolina to spend some time exploring caves...",Neil Marshall,"Shauna Macdonald, Natalie Mendoza, Alex Reid, Saskia Mulder"
Dr. Jekyll and Mr. Hyde,1931,91,96892,"A classic. The definitive version of the Robert Louis Stevenson novella from 1931, with innovative special effects, atmospheric cinematography and deranged overacting.","Testing his theory that in every man dwells a good and an evil force, the reserved Dr. Jekyll (Fredric March)...",Rouben Mamoulian,"Fredric March, Miriam Hopkins, Rose Hobart, Holmes Herbert"
Mandy,2018,90,103729,,"In the Pacific Northwest in 1983, outsiders Red Miller and Mandy Bloom lead a loving and peaceful existence. When their...",Panos Cosmatos,"Nicolas Cage, Andrea Riseborough, Linus Roache, Ned Dennehy"
Duel,1971,89,93852,,"David Mann (Dennis Weaver), a mild mannered electronics salesman, is driving cross-country on a two-lane highway when he encounters an...",Steven Spielberg,"Dennis Weaver, Tim Herbert, Charles Seel, Eddie Firestone"
The Cat and the Canary,1927,93,97247,"Bringing its sturdy setup thrillingly to life,",The relatives of Cyrus West gather at his estate on the 20th anniversary of his death to hear the reading...,Paul Leni,"Laura La Plante, Creighton Hale, Forrest Stanley, Tully Marshall"
The Wolf Man,1941,91,96935,"A handsomely told tale with an affecting performance from Lon Chaney, Jr.,","When his brother dies, Larry Talbot (Lon Chaney) returns to Wales and reconciles with his father (Claude Rains). While there,...",George Waggner,"Lon Chaney Jr., Claude Rains, Ralph Bellamy, Evelyn Ankers"
Saint Maud,2019,92,101710,"A brilliantly unsettling blend of body horror and psychological thriller,","The debut film from writer-director Rose Glass, Saint Maud is a chilling and boldly original vision of faith, madness, and...",Rose Glass,"Morfydd Clark, Jennifer Ehle, Lily Frazer, Lily Knight"
Poltergeist,1982,88,95587,"Smartly filmed, tightly scripted, and -- most importantly -- consistently frightening,","Strange and creepy happenings beset an average California family, the Freelings -- Steve (Craig T. Nelson), Diane (JoBeth Williams), teenaged...",Tobe Hooper,"Craig T. Nelson, JoBeth Williams, Beatrice Straight, Dominique Dunne"
House,1977,91,95092,,"In an effort to avoid spending time with her father and his creepy new lover, young Gorgeous (Kimiko Ikegami) resolves...",Nobuhiko Ôbayashi,"Kimiko Ikegami, Ai Matsubara, Miki Jinbo, Eriko Tanaka"
The Endless,2017,92,98581,,Two brothers receive a cryptic video message inspiring them to revisit the UFO death cult they escaped a decade earlier....,Aaron Moorhead,"Aaron Moorhead, Justin Benson, Callie Hernandez, Tate Ellington"
The Evil Dead,1981,86,94125,"So scrappy that it feels as illicit as a book found in the woods,","Ashley ""Ash"" Williams (Bruce Campbell), his girlfriend and three pals hike into the woods to a cabin for a fun...",Sam Raimi,"Bruce Campbell, Ellen Sandweiss, Betsy Baker, Richard DeManincor"
Violation,2020,88,93656,,"With her marriage about to implode, Miriam returns to her hometown to seek solace in the comfort of her younger...",Dusty Mancinelli,"Madeleine Sims-Fewer, Anna Maguire, Jesse LaVercombe, Obi Abili"
Martin,1978,90,94040,"George A. Romero's contribution to vampire lore contains the expected gore and social satire -- but it's also surprisingly thoughtful, and boasts a whopper of a final act.","Young Martin (John Amplas) is entirely convinced that he is an 84-year-old blood-sucking vampire. Without fangs or mystical powers, Martin...",George A. Romero,"John Amplas, Lincoln Maazel, Christine Forrest, Elyane Nadeau"
Tucker & Dale vs Evil,2010,85,89167,"Like the best horror/comedies,","Two scruffy pals' (Tyler Labine, Alan Tudyk) backwoods vacation takes a bloody turn when ignorant college students mistake them for...",Eli Craig,"Tyler Labine, Alan Tudyk, Katrina Bowden, Jesse Moss"
Nanny,2022,90,97187,"Led by Anna Diop's strong central performance, the smartly disquieting","In this psychological horror fable of displacement, Aisha (Anna Diop), a woman who recently emigrated from Senegal, is hired to...",Nikyatu Jusu,"Anna Diop, Michelle Monaghan, Sinqua Walls, Morgan Spector"
A Tale of Two Sisters,2003,86,87484,"Restrained but disturbing,","After being institutionalized in a mental hospital, Korean teen Su-mi (Yum Jung-ah) reunites with her beloved sister, Su-yeon (Im Soo-jung),...",Kim Jee-woon,"Yum Jung-ah, Kim Kap-soo, Moon Geun-young, Lim Soo-jung"
The Witch,2015,90,106536,"As thought-provoking as it is visually compelling,","In 1630 New England, panic and despair envelops a farmer, his wife and their children when youngest son Samuel suddenly...",Robert Eggers,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Harvey Scrimshaw"
Annihilation,2018,88,106346,,"Lena, a biologist and former soldier, joins a mission to uncover what happened to her husband inside Area X --...",Alex Garland,"Natalie Portman, Jennifer Jason Leigh, Gina Rodriguez, Tessa Thompson"
The Dead Zone,1983,89,94205,,"When Johnny Smith (Christopher Walken) awakens from a coma caused by a car accident, he finds that years have passed,...",David Cronenberg,"Christopher Walken, Brooke Adams, Tom Skerritt, Herbert Lom"
Fear Street Part Two: 1978,2021,87,91858,"A smart and subversive twist on slasher horror,","Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider...",Leigh Janiak,"Sadie Sink, Emily Rudd, Ryan Simpkins, Chiara Aurelia"
Island of Lost Souls,1933,88,94000,"Led by a note-perfect performance from Charles Laughton,","In this adaptation of H.G. Wells' novel ""The Island of Doctor Moreau,"" Edward Parker (Richard Arlen) is shipwrecked on a...",Erle C. Kenton,"Charles Laughton, Bela Lugosi, Richard Arlen, Leila Hyams"
The Others,2001,84,90102,,"Grace (Nicole Kidman), the devoutly religious mother of Anne (Alakina Mann) and Nicholas (James Bentley), moves her family to the...",Alejandro Amenábar,"Nicole Kidman, Christopher Eccleston, Alakina Mann, James Bentley"
Rare Exports: A Christmas Tale,2010,89,92766,,A young boy named Pietari (Onni Tommila) and his friend Juuso (Ilmari Järvenpää) think a secret mountain drilling project near...,Jalmari Helander,"Onni Tommila, Jorma Tommila, Ilmari Järvenpää, Peeter Jakobi"
Only Lovers Left Alive,2013,86,95291,"Worth watching for Tom Hiddleston and Tilda Swinton's performances alone,","Artistic, sophisticated and centuries old, two vampire lovers (Tilda Swinton, Tom Hiddleston) ponder their ultimate place in modern society....",Jim Jarmusch,"Tilda Swinton, Tom Hiddleston, Anton Yelchin, Mia Wasikowska"
Hatching,2022,93,99675,"A message movie in a hard horror shell,","In HATCHING, 12-year-old gymnast, Tinja (Siiri Solalinna), is desperate to please her image-obsessed mother, whose popular blog 'Lovely Everyday Life'...",Hanna Bergholm,"Siiri Solalinna, Sophia Heikkilä, Jani Volanen, Oiva Ollila"
Santa Sangre,1989,86,89538,"Those unfamiliar with Alejandro Jodorowsky's style may find it overwhelming, but","In Mexico, the traumatized son (Axel Jodorowsky) of a knife-thrower (Guy Stockwell) and a trapeze artist bonds grotesquely with his...",Alejandro Jodorowsky,"Axel Jodorowsky, Blanca Guerra, Guy Stockwell, Sabrina Dennison"
Theater of Blood,1973,87,90532,"Deliciously campy and wonderfully funny,",Edward Lionheart (Vincent Price) is incensed that his last season of performances in Shakespearean plays did not win him a...,Douglas Hickox,"Vincent Price, Diana Rigg, Robert Morley, Ian Hendry"
Gremlins,1984,86,93162,"Whether you choose to see it as a statement on consumer culture or simply a special effects-heavy popcorn flick,",A gadget salesman is looking for a special gift for his son and finds one at a store in Chinatown....,Joe Dante,"Zach Galligan, Phoebe Cates, Hoyt Axton, Frances Lee McCain"
